,team,tweet_grade,tweet
0,angels,1,5
1,angels,2,12
2,angels,3,39
3,angels,4,38
4,angels,5,47
5,athletics,1,4
6,athletics,2,29
7,athletics,3,124
8,athletics,4,274
9,athletics,5,287
10,bluejays,1,6
11,bluejays,2,32
12,bluejays,3,46
13,bluejays,4,230
14,bluejays,5,346
15,braves,1,18
16,braves,2,28
17,braves,3,44
18,braves,4,62
19,braves,5,148
20,brewers,1,8
21,brewers,2,12
22,brewers,3,30
23,brewers,4,81
24,brewers,5,73
25,cardinals,1,20
26,cardinals,2,33
27,cardinals,3,48
28,cardinals,4,87
29,cardinals,5,95
30,cubs,1,34
31,cubs,2,46
32,cubs,3,106
33,cubs,4,70
34,cubs,5,117
35,dbacks,1,9
36,dbacks,2,19
37,dbacks,3,25
38,dbacks,4,26
39,dbacks,5,36
40,dodgers,1,52
41,dodgers,2,66
42,dodgers,3,80
43,dodgers,4,177
44,dodgers,5,226
45,giants,1,10
46,giants,2,20
47,giants,3,39
48,giants,4,43
49,giants,5,63
50,mariners,1,6
51,mariners,2,44
52,mariners,3,76
53,mariners,4,201
54,mariners,5,250
55,marlins,1,36
56,marlins,2,64
57,marlins,3,66
58,marlins,4,53
59,marlins,5,54
60,mets,1,25
61,mets,2,49
62,mets,3,207
63,mets,4,117
64,mets,5,117
65,mlb_general,1,59
66,mlb_general,2,117
67,mlb_general,3,211
68,mlb_general,4,637
69,mlb_general,5,747
70,nationals,1,10
71,nationals,2,40
72,nationals,3,161
73,nationals,4,141
74,nationals,5,218
75,padres,1,11
76,padres,2,26
77,padres,3,40
78,padres,4,25
79,padres,5,33
80,phillies,1,9
81,phillies,2,11
82,phillies,3,45
83,phillies,4,49
84,phillies,5,41
85,pirates,1,10
86,pirates,2,33
87,pirates,3,120
88,pirates,4,69
89,pirates,5,136
90,rays,1,12
91,rays,2,12
92,rays,3,80
93,rays,4,66
94,rays,5,121
95,reds,1,9
96,reds,2,15
97,reds,3,25
98,reds,4,67
99,reds,5,78
100,redsox,1,21
101,redsox,2,37
102,redsox,3,49
103,redsox,4,110
104,redsox,5,108
105,rockies,1,10
106,rockies,2,22
107,rockies,3,64
108,rockies,4,56
109,rockies,5,77
110,royals,1,6
111,royals,2,10
112,royals,3,47
113,royals,4,63
114,royals,5,66
115,tigers,1,8
116,tigers,2,13
117,tigers,3,16
118,tigers,4,50
119,tigers,5,94
120,twins,2,2
121,twins,3,14
122,twins,4,26
123,twins,5,45
124,whitesox,1,4
125,whitesox,2,9
126,whitesox,3,31
127,whitesox,4,34
128,whitesox,5,36
129,yankees,1,9
130,yankees,2,15
131,yankees,3,94
132,yankees,4,90
133,yankees,5,62
